ResponseId,nps,company,Year,month,TENURE,GENERATION,ROLE,LOCATION,COMPANY,GENDER,Change
R_PYZsjfQSpvFccnf,10,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),Admin + Corporate Support,NA,NA,NA,Communication of the vision and goals of the company and the knowledge that upper level management will listen and respect the input from the employee.
R_10IOtOrUHT0mnB7,10,Ergon,2019,September,1-4 years,Baby Boomer (born between 1946 - 1965),NA,NA,NA,NA,aaaa
R_8CVgarzCS4xB6P7,7,Ergon,2019,September,Less than a year,Baby Boomer (born between 1946 - 1965),NA,NA,NA,NA,Less bureaucracy
R_2Y69VEdpRlZ3N2v,10,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),NA,NA,NA,NA,Keep moving the organization in the direction we are headed.
R_2ylrUEmg9u4eT8H,4,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Admin + Corporate Support,NA,NA,NA,"Admin does a lot of work behind the scenes and should get compensated just as much as an operator. Some even have college degrees and are not compensated. Also, when conferences come available to improve we are told we can not go."
R_vSPQomkwbhBxJ3b,10,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),Operations,NA,NA,NA,Concentrate some effort into training programs.
R_3LcKMzzRpsC6Dx3,9,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Operations,NA,NA,NA,Improve communication onsite
R_40FS44Ev5cJqDLz,9,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),NA,NA,NA,NA,"Benefits, particularly ones aiding in retirement."
R_3lzxWA07DLHLjrY,9,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),NA,NA,NA,NA,I feel like the benefits that are provided by our company are somewhat dated and need to be overhauled.
R_1QuxRdycNNMfOA6,9,Ergon,2019,September,1-4 years,Generation Y (born between 1981 - 2000),Sales + Marketing,NA,NA,NA,"Greater collaboration and sharing of ideas, opportunities, and knowledge between different business segments."
R_1GE5iddRF8Lb4H2,10,Ergon,2019,September,12+ years,Baby Boomer (born between 1946 - 1965),NA,NA,NA,NA,Staying engaged in the new technologies and business opportunities in regard to the exploration and extraction of various shale formations. As well as being tuned in on the possibility of an ethane storage hub being built in WV and the business ventures that could come with that.
R_yx4N8w5zNdP9LLX,8,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),Operations,NA,NA,NA,Compensation
R_1PTM6fMGwO5wCAx,10,Ergon,2019,September,12+ years,Generation X  (born between 1966 - 1980),Operations,NA,NA,NA,Need more emphasis on equipment reliability and upgrades to make it easier to run higher charge rates that are not so close to limits. Seems like we always run very close to these limits.
R_ZxFUAk2rQUgfcBP,9,Ergon,2019,September,4-8 years,Generation Y (born between 1981 - 2000),NA,NA,NA,NA,Real Vision Insurance
